Mision,Fecha,Humedad,Presion,Temp,Lat,Lon,Alt
NanoSkyLab,22/4/2026,23,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,32,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,38,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,44,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,49,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,53,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,56,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,59,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,62,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,64,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,66,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,66,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,68,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,69,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,71,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,72,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,72,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,73,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,73,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,74,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,74,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,75,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,75,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,75,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,75,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,75,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,77,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
NanoSkyLab,22/4/2026,76,nan,nan,0.0,0.0,nan
